Article,Searches,Social_References
W12373,175,18
X12374,261,26
Y12375,166,17
Z12376,111,33
A12377,104,21
B12378,169,34
C12379,265,80
D12380,57,11
E12381,188,56
F12382,28,3
G12383,271,27
H12384,257,51
I12385,195,39
J12386,29,6
K12387,26,5
L12388,28,6
M12389,22,7
N12390,233,70
O12391,134,27
P12392,198,40
Q12393,206,21
R12394,59,6
S12395,251,25
T12396,81,24
U12397,80,16
V12398,207,21
W12399,245,49
X12400,164,49
Y12401,77,23
Z12402,64,6
A12403,251,75
B12404,21,2
C12405,186,56
D12406,177,53
E12407,274,82
F12408,79,24
G12409,250,50
H12410,23,7
I12411,80,24
J12412,160,16
K12413,40,12
L12414,83,17
M12415,129,26
N12416,144,14
O12417,60,12
P12418,51,10
Q12419,26,3
R12420,23,5
S12421,108,11
T12422,72,22
U12423,215,43
V12424,189,57
W12425,182,18
X12426,164,16
Y12427,101,30
Z12428,283,28
A12429,45,9
B12430,231,69
C12431,278,56
D12432,221,66
E12433,83,25
F12434,142,28
G12435,71,14
H12436,50,5
I12437,214,21
J12438,223,67
K12439,57,11
L12440,147,44
M12441,261,52
N12442,82,8
O12443,149,15
P12444,184,55
Q12445,286,29
R12446,29,6
S12447,51,15
T12448,201,40
U12449,133,27
V12450,69,7
W12451,21,4
X12452,110,22
Y12453,305,92
Z12454,112,22
A12455,206,21
B12456,59,12
C12457,316,63
D12458,116,12
E12459,52,10
F12460,43,13
G12461,74,15
H12462,20,2
I12463,111,11
J12464,210,63
K12465,127,13
L12466,85,26
M12467,258,77
N12468,84,25
O12469,216,65
P12470,39,8
Q12471,140,14
R12472,207,41
S12473,270,81
T12474,194,39
U12475,98,29
V12476,280,28
W12477,128,13
X12478,20,4
Y12479,115,23
Z12480,214,64
A12481,68,20
B12482,20,2
C12483,137,27
D12484,143,43
E12485,76,8
F12486,166,17
G12487,278,28
H12488,192,38
I12489,65,7
J12490,231,46
K12491,232,70
L12492,29,9
M12493,97,19
N12494,50,5
O12495,100,10
P12496,239,72
Q12497,183,37
R12498,126,13
S12499,208,21
T12500,217,43
U12501,80,16
V12502,137,41
W12503,101,30
X12504,159,32
Y12505,229,23
Z12506,126,25
A12507,151,15
B12508,22,2
C12509,203,20
D12510,86,17
E12511,29,6
F12512,77,15
G12513,46,9
H12514,22,7
I12515,286,29
J12516,105,21
K12517,189,57
L12518,176,18
M12519,214,21
N12520,175,18
O12521,39,12
P12522,200,20
Q12523,225,45
R12524,257,26
S12525,157,31
T12526,138,41
U12527,27,5
V12528,98,20
W12529,195,39
X12530,258,26
Y12531,85,9
Z12532,172,52
A12533,306,61
B12534,369,111
C12535,78,16
D12536,69,7
E12537,61,18
F12538,58,17
G12539,149,45
H12540,107,21
I12541,114,11
J12542,52,16
K12543,191,19
L12544,221,44
M12545,298,60
N12546,240,72
O12547,197,59
P12548,259,78
Q12549,317,95
R12550,239,24
S12551,27,3
T12552,27,3
U12553,145,15
V12554,2794,838
W12555,114,11
X12556,131,13
Y12557,116,23
Z12558,254,51
A12559,19,6
B12560,86,26
C12561,244,49
D12562,113,34
E12563,77,15
F12564,107,11
G12565,196,59
H12566,51,10
I12567,316,95
J12568,96,29
K12569,204,41
L12570,227,23
M12571,153,31
N12572,19,4
O12573,198,59
P12574,77,23
Q12575,24,2
R12576,248,25
S12577,264,26
T12578,39,4
U12579,239,24
V12580,216,65
W12581,190,19
X12582,23,2
Y12583,23,7
Z12584,144,29
A12585,225,45
B12586,67,13
C12587,295,89
D12588,21,2
E12589,62,19
F12590,135,27
G12591,25,3
H12592,133,40
I12593,245,74
J12594,211,21
K12595,44,9
L12596,273,27
M12597,61,18
N12598,141,14
O12599,241,24
P12600,260,78
Q12601,193,39
R12602,171,17
S12603,141,28
T12604,166,17
U12605,83,25
V12606,88,9
W12607,38,11
X12608,79,24
Y12609,74,22
Z12610,164,33
A12611,139,42
B12612,184,55
C12613,83,25
D12614,273,27
E12615,230,69
F12616,54,5
G12617,99,20
H12618,234,47
I12619,231,23
J12620,153,15
K12621,96,19
L12622,218,44
M12623,174,17
N12624,241,48
O12625,47,14
P12626,167,50
Q12627,86,26
R12628,154,15
S12629,53,5
T12630,206,62
U12631,51,15
V12632,102,31
W12633,19,4
X12634,132,13
Y12635,203,20
Z12636,59,6
A12637,29,6
B12638,150,15
C12639,71,7
D12640,154,15
E12641,19,6
F12642,41,8
G12643,155,47
H12644,19,6
I12645,125,25
J12646,99,10
K12647,78,8
L12648,207,62
M12649,122,37
N12650,228,46
O12651,242,24
P12652,145,29
Q12653,119,24
R12654,40,12
S12655,144,14
T12656,54,5
U12657,21,6
V12658,152,15
W12659,222,67
X12660,285,86
Y12661,186,19
Z12662,268,27
A12663,134,40
B12664,81,16
C12665,184,55
D12666,192,38
E12667,212,64
F12668,47,5
G12669,242,73
H12670,135,41
I12671,269,81
J12672,92,28
K12673,194,58
L12674,172,52
M12675,240,48
N12676,128,13
O12677,250,25
P12678,26,3
Q12679,217,22
R12680,28,3
S12681,115,12
T12682,135,14
U12683,76,8
V12684,252,76
W12685,122,12
X12686,22,7
Y12687,72,22
Z12688,111,33
A12689,227,68
B12690,38,4
C12691,288,29
D12692,70,14
E12693,135,41
F12694,121,36
G12695,221,66
H12696,28,6
I12697,174,35
J12698,139,14
K12699,21,6
L12700,1506,151
M12701,195,20
N12702,141,42
O12703,103,10
P12704,137,14
Q12705,171,51
R12706,139,14
S12707,208,42
T12708,62,19
U12709,201,20
V12710,55,11
W12711,245,49
X12712,25,3
Y12713,213,21
Z12714,220,22
A12715,299,60
B12716,28,8
C12717,227,45
D12718,309,93
E12719,226,68
F12720,175,18
G12721,255,26
H12722,77,15
I12723,79,8
J12724,137,27
K12725,21,4
L12726,213,43
M12727,259,78
N12728,114,23
O12729,112,34
P12730,293,59
Q12731,39,12
R12732,225,68
S12733,131,26
T12734,101,10
U12735,93,19
V12736,58,6
W12737,317,63
X12738,24,2
Y12739,102,31
Z12740,168,50
A12741,89,18
B12742,195,39
C12743,97,10
D12744,210,63
E12745,76,23
F12746,62,12
G12747,224,67
H12748,214,43
I12749,139,42
J12750,115,23
K12751,20,2
L12752,224,22
M12753,172,17
N12754,115,23
O12755,19,4
P12756,61,12
Q12757,47,5
R12758,187,56
S12759,215,43
T12760,27,8
U12761,127,25
V12762,173,52
W12763,144,43
X12764,133,40
Y12765,150,15
Z12766,92,28
A12767,376,38
B12768,90,18
C12769,101,30
D12770,53,16
E12771,147,29
F12772,152,15
G12773,21,2
H12774,171,51
I12775,295,89
J12776,192,19
K12777,182,55
L12778,99,20
M12779,40,8
N12780,165,33
O12781,208,62
P12782,156,16
Q12783,218,44
R12784,103,10
S12785,62,6
T12786,142,14
U12787,250,25
V12788,101,30
W12789,213,21
X12790,121,24
Y12791,305,31
Z12792,175,18
A12793,80,8
B12794,297,59
C12795,19,2
D12796,259,52
E12797,50,5
F12798,246,49
G12799,235,71
H12800,128,38
I12801,193,39
J12802,218,44
K12803,202,20
L12804,166,33
M12805,283,85
N12806,165,50
O12807,229,46
P12808,141,42
Q12809,56,6
R12810,103,21
S12811,104,31
T12812,86,9
U12813,244,49
V12814,104,21
W12815,103,31
X12816,277,83
Y12817,101,10
Z12818,27,5
A12819,155,31
B12820,114,23
C12821,186,56
D12822,208,42
E12823,141,28
F12824,67,7
G12825,179,36
H12826,284,85
I12827,228,23
J12828,195,20
K12829,190,19
L12830,107,32
M12831,132,26
N12832,96,10
O12833,22,7
P12834,212,42
Q12835,78,8
R12836,264,53
S12837,152,30
T12838,145,15
U12839,111,22
V12840,101,10
W12841,105,11
X12842,173,35
Y12843,97,10
Z12844,153,15
A12845,52,16
B12846,227,23
C12847,211,42
D12848,118,24
E12849,257,51
F12850,308,92
G12851,155,31
H12852,58,12
I12853,107,21
J12854,150,15
K12855,220,44
L12856,25,5
M12857,134,13
N12858,264,53
O12859,238,24
P12860,43,4
Q12861,255,26
R12862,106,32
S12863,87,26
T12864,146,29
U12865,57,6
V12866,22,4
W12867,220,22
X12868,46,9
Y12869,176,35
Z12870,110,11
A12871,102,31
B12872,191,19
C12873,77,15
D12874,129,39
E12875,71,21
F12876,81,24
G12877,144,14
H12878,219,44
I12879,71,7
J12880,215,43
K12881,84,8
L12882,93,28
M12883,166,50
N12884,28,6
O12885,100,10
P12886,138,14
Q12887,99,10
R12888,190,38
S12889,217,43
T12890,239,24
U12891,101,10
V12892,116,35
W12893,73,7
X12894,130,39
Y12895,94,19
Z12896,112,11
A12897,168,50
B12898,214,43
C12899,58,6
D12900,217,65
E12901,232,23
F12902,250,75
G12903,19,2
H12904,243,24
I12905,257,26
J12906,298,89
K12907,191,19
L12908,201,60
M12909,221,22
N12910,97,10
O12911,156,31
P12912,121,36
Q12913,178,53
R12914,259,26
S12915,107,21
T12916,230,46
U12917,39,12
V12918,211,42
W12919,70,14
X12920,228,68
Y12921,24,7
Z12922,180,36
A12923,113,11
B12924,232,23
C12925,76,23
D12926,68,14
E12927,97,10
F12928,140,42
G12929,154,15
H12930,64,19
I12931,294,88
J12932,116,23
K12933,228,46
L12934,220,44
M12935,69,14
N12936,155,16
O12937,144,14
P12938,39,8
Q12939,209,63
R12940,128,38
S12941,71,7
T12942,255,26
U12943,110,22
V12944,56,17
W12945,21,6
X12946,248,25
Y12947,80,8
Z12948,220,44
A12949,133,27
B12950,28,3
C12951,132,13
D12952,82,8
E12953,83,25
F12954,92,9
G12955,23,2
H12956,204,41
I12957,173,35
J12958,128,26
K12959,290,87
L12960,235,71
M12961,25,5
N12962,243,24
O12963,164,16
P12964,103,10
Q12965,55,6
R12966,130,39
S12967,199,40
T12968,40,8
U12969,19,6
V12970,237,47
W12971,50,5
X12972,184,55
Y12973,133,13
Z12974,114,34
A12975,249,50
B12976,89,18
C12977,233,23
D12978,27,3
E12979,228,68
F12980,247,74
G12981,206,21
H12982,81,24
I12983,53,5
J12984,222,67
K12985,153,46
L12986,344,103
M12987,107,32
N12988,164,16
O12989,133,13
P12990,257,51
Q12991,92,28
R12992,161,32
S12993,235,47
T12994,168,34
U12995,188,56
V12996,160,48
W12997,178,53
X12998,23,7
Y12999,143,29
Z13000,192,19
A13001,110,11
B13002,240,72
C13003,105,21
D13004,218,65
E13005,228,23
F13006,77,8
G13007,28,8
H13008,151,15
I13009,75,23
J13010,202,61
K13011,150,30
L13012,104,31
M13013,184,37
N13014,216,22
O13015,89,9
P13016,124,25
Q13017,219,66
R13018,155,16
S13019,174,35
T13020,231,23
U13021,113,23
V13022,58,17
W13023,66,20
X13024,222,67
Y13025,200,60
Z13026,171,51
A13027,109,22
B13028,243,24
C13029,203,20
D13030,245,25
E13031,58,12
F13032,21,2
G13033,73,7
H13034,25,8
I13035,28,3
J13036,104,31
K13037,62,6
L13038,143,14
M13039,127,38
N13040,153,31
O13041,95,10
P13042,114,34
Q13043,136,41
R13044,124,12
S13045,146,29
T13046,246,25
U13047,222,44
V13048,104,21
W13049,124,25
X13050,182,36
Y13051,88,18
Z13052,187,19
A13053,316,95
B13054,55,6
C13055,215,65
D13056,20,2
E13057,45,14
F13058,241,24
G13059,175,18
H13060,108,11
I13061,49,5
J13062,156,47
K13063,238,71
L13064,224,45
M13065,193,39
N13066,101,10
O13067,135,41
P13068,49,10
Q13069,109,11
R13070,242,48
S13071,247,49
T13072,40,12
U13073,41,12
V13074,22,4
W13075,44,4
X13076,281,84
Y13077,185,19
Z13078,19,2
A13079,159,32
B13080,215,43
C13081,287,86
D13082,269,81
E13083,121,36
F13084,165,33
G13085,184,37
H13086,200,40
I13087,192,38
J13088,268,54
K13089,204,20
L13090,168,34
M13091,210,21
N13092,82,16
O13093,148,44
P13094,112,34
Q13095,84,25
R13096,39,12
S13097,145,15
T13098,69,21
U13099,222,44
V13100,249,75
W13101,140,28
X13102,46,5
Y13103,88,26
Z13104,225,68
A13105,44,13
B13106,254,51
C13107,66,7
D13108,213,21
E13109,252,76
F13110,111,11
G13111,127,25
H13112,158,32
I13113,165,17
J13114,76,15
K13115,250,25
L13116,82,25
M13117,19,4
N13118,193,39
O13119,214,64
P13120,112,34
Q13121,140,14
R13122,62,19
S13123,245,49
T13124,140,14
U13125,239,48
V13126,116,35
W13127,175,18
X13128,118,35
Y13129,191,57
Z13130,144,43
A13131,236,47
B13132,108,32
C13133,153,46
D13134,56,17
E13135,187,19
F13136,258,26
G13137,119,36
H13138,87,17
I13139,134,27
J13140,108,32
K13141,44,9
L13142,143,29
M13143,109,11
N13144,39,8
O13145,217,22
P13146,43,13
Q13147,239,24
R13148,174,35
S13149,119,36
T13150,41,8
U13151,165,17
V13152,188,38
W13153,106,11
X13154,28,3
Y13155,81,8
Z13156,111,33
A13157,26,3
B13158,191,57
C13159,274,82
D13160,118,12
E13161,135,14
F13162,119,36
G13163,111,11
H13164,84,25
I13165,121,24
J13166,25,5
K13167,286,57
L13168,87,26
M13169,226,23
N13170,114,11
O13171,134,40
P13172,261,26
Q13173,298,30
R13174,288,86
S13175,226,68
T13176,230,69
U13177,99,10
V13178,92,18
W13179,96,10
X13180,135,14
Y13181,103,21
Z13182,307,92
A13183,222,67
B13184,182,55
C13185,26,8
D13186,76,23
E13187,54,16
F13188,223,45
G13189,131,26
H13190,145,29
I13191,171,34
J13192,83,25
K13193,232,23
L13194,255,77
M13195,271,27
N13196,239,48
O13197,263,26
P13198,309,62
Q13199,93,19
R13200,145,29
S13201,22,2
T13202,348,104
U13203,230,46
V13204,58,17
W13205,215,65
X13206,171,34
Y13207,149,15
Z13208,116,23
A13209,26,8
B13210,151,15
C13211,106,21
D13212,159,16
E13213,174,35
F13214,317,95
G13215,162,49
H13216,103,10
I13217,41,12
J13218,195,20
K13219,210,42
L13220,137,41
M13221,163,16
N13222,113,23
O13223,72,22
P13224,126,38
Q13225,120,36
R13226,76,8
S13227,44,4
T13228,97,10
U13229,116,35
V13230,260,52
W13231,47,5
X13232,20,2
Y13233,208,21
Z13234,231,23
A13235,250,75
B13236,156,31
C13237,247,49
D13238,121,36
E13239,150,30
F13240,187,19
G13241,157,16
H13242,183,18
I13243,280,28
J13244,77,8
K13245,282,85
L13246,227,45
M13247,169,17
N13248,107,11
O13249,140,14
P13250,135,14
Q13251,258,26
R13252,205,21
S13253,19,2
T13254,165,33
U13255,114,11
V13256,99,10
W13257,286,29
X13258,293,88
Y13259,190,38
Z13260,70,21
A13261,190,38
B13262,286,86
C13263,258,26
D13264,190,38
E13265,231,46
F13266,259,52
G13267,45,9
H13268,159,16
I13269,125,25
J13270,144,43
K13271,44,13
L13272,196,39
M13273,26,3
N13274,26,3
O13275,167,17
P13276,254,25
Q13277,116,23
R13278,155,31
S13279,265,80
T13280,143,43
U13281,108,32
V13282,24,7
W13283,69,21
X13284,70,7
Y13285,200,40
Z13286,213,21
A13287,190,38
B13288,61,12
C13289,96,10
D13290,114,11
E13291,99,20
F13292,282,28
G13293,257,26
H13294,124,12
I13295,40,12
J13296,174,35
K13297,45,5
L13298,47,5
M13299,270,27
N13300,101,30
O13301,22,2
P13302,219,44
Q13303,220,66
R13304,173,52
S13305,189,57
T13306,168,34
U13307,288,58
V13308,88,9
W13309,112,22
X13310,214,64
Y13311,83,8
Z13312,160,48
A13313,185,56
B13314,282,85
C13315,103,31
D13316,287,86
E13317,67,20
F13318,115,23
G13319,201,20
H13320,199,40
I13321,139,14
J13322,148,44
K13323,44,9
L13324,170,34
M13325,231,69
N13326,67,13
O13327,122,12
P13328,246,25
Q13329,28,8
R13330,181,36
S13331,22,2
T13332,198,59
U13333,99,30
V13334,180,54
W13335,60,6
X13336,27,8
Y13337,176,53
Z13338,72,7
A13339,73,15
B13340,20,4
C13341,269,81
D13342,198,40
E13343,66,20
F13344,188,56
G13345,41,12
H13346,190,57
I13347,171,17
J13348,209,42
K13349,220,44
L13350,110,22
M13351,297,89
N13352,22,7
O13353,270,81
P13354,177,35
Q13355,120,36
R13356,111,22
S13357,38,11
T13358,27,8
U13359,58,6
V13360,60,18
W13361,151,15
X13362,82,16
Y13363,227,23
Z13364,159,48
A13365,212,64
B13366,245,49
C13367,175,35
D13368,149,45
E13369,280,84
F13370,27,3
G13371,254,25
H13372,219,66
I13373,88,9
J13374,59,12
K13375,45,5
L13376,107,21
M13377,225,23
N13378,213,64
O13379,24,2
P13380,633,127
Q13381,218,22
R13382,67,20
S13383,269,27
T13384,229,23
U13385,148,44
V13386,223,45
W13387,55,17
X13388,116,23
Y13389,103,21
Z13390,195,59
A13391,85,26
B13392,162,16
C13393,255,26
D13394,45,5
E13395,127,38
F13396,114,11
G13397,97,10
H13398,249,25
I13399,304,91
J13400,27,8
K13401,66,20
L13402,6454,645
M13403,104,10
N13404,157,16
O13405,147,29
P13406,157,31
Q13407,233,70
R13408,239,72
S13409,156,47
T13410,44,9
U13411,56,17
V13412,142,43
W13413,84,8
X13414,183,18
Y13415,143,29
Z13416,277,55
A13417,47,14
B13418,194,58
C13419,27,3
D13420,188,19
E13421,152,46
F13422,237,71
G13423,133,40
H13424,296,59
I13425,180,54
J13426,87,26
K13427,109,11
L13428,205,41
M13429,191,57
N13430,174,35
O13431,23,2
P13432,246,25
Q13433,102,20
R13434,281,28
S13435,145,29
T13436,105,32
U13437,84,17
V13438,22,4
W13439,283,57
X13440,116,12
Y13441,98,29
Z13442,45,9
A13443,113,11
B13444,257,26
C13445,252,25
D13446,263,79
E13447,52,10
F13448,213,43
G13449,126,25
H13450,279,84
I13451,289,29
J13452,121,24
K13453,287,57
L13454,223,45
M13455,104,21
N13456,182,18
O13457,279,28
P13458,191,57
Q13459,105,11
R13460,83,25
S13461,176,18
T13462,28,8
U13463,104,10
V13464,188,38
W13465,104,31
X13466,90,27
Y13467,45,14
Z13468,154,46
A13469,82,16
B13470,171,51
C13471,51,15
D13472,105,11
E13473,84,17
F13474,133,40
G13475,193,39
H13476,27,5
I13477,68,14
J13478,270,81
K13479,119,24
L13480,105,32
M13481,142,28
N13482,188,19
O13483,25,3
P13484,54,11
Q13485,255,26
R13486,264,26
S13487,209,21
T13488,235,71
U13489,238,71
V13490,121,12
W13491,66,20
X13492,227,23
Y13493,42,13
Z13494,43,9
A13495,194,39
B13496,351,70
C13497,209,63
D13498,139,14
E13499,49,10
F13500,223,45
G13501,80,16
H13502,208,21
I13503,43,4
J13504,103,31
K13505,105,32
L13506,94,28
M13507,23,2
N13508,241,48
O13509,220,22
P13510,195,39
Q13511,209,42
R13512,148,15
S13513,237,47
T13514,143,43
U13515,147,15
V13516,140,28
W13517,57,11
X13518,114,34
Y13519,244,49
Z13520,338,68
A13521,51,15
B13522,76,8
C13523,70,14
D13524,137,41
E13525,212,21
F13526,83,25
G13527,240,24
H13528,114,34
I13529,57,11
J13530,29,9
K13531,92,18
L13532,221,44
M13533,47,14
N13534,202,40
O13535,309,62
P13536,162,16
Q13537,125,13
R13538,224,22
S13539,112,11
T13540,133,27
U13541,153,15
V13542,118,12
W13543,229,46
X13544,62,12
Y13545,192,58
Z13546,23,5
A13547,165,33
B13548,110,11
C13549,250,50
D13550,224,22
E13551,169,34
F13552,97,10
G13553,96,19
H13554,80,8
I13555,280,56
J13556,224,67
K13557,225,45
L13558,124,37
M13559,115,35
N13560,141,28
O13561,235,71
P13562,219,22
Q13563,122,12
R13564,200,40
S13565,23,5
T13566,261,78
U13567,79,24
V13568,262,52
W13569,248,50
X13570,185,56
Y13571,254,76
Z13572,192,58
A13573,140,28
B13574,171,51
C13575,121,12
D13576,19,2
E13577,38,11
F13578,42,4
G13579,197,39
H13580,52,10
I13581,131,39
J13582,119,12
K13583,168,34
L13584,180,54
M13585,24,5
N13586,152,46
O13587,22,2
P13588,51,5
Q13589,80,16
R13590,153,46
S13591,278,83
T13592,170,17
U13593,26,5
V13594,219,44
W13595,164,16
X13596,83,25
Y13597,202,20
Z13598,26,3
A13599,195,39
B13600,47,5
C13601,178,53
D13602,215,65
E13603,125,13
F13604,140,14
G13605,229,69
H13606,161,48
I13607,91,27
J13608,26,3
K13609,133,13
L13610,217,43
M13611,316,32
N13612,286,29
O13613,134,40
P13614,230,46
Q13615,79,16
R13616,153,46
S13617,184,37
T13618,206,62
U13619,210,21
V13620,86,9
W13621,221,44
X13622,181,54
Y13623,60,12
Z13624,163,16
A13625,25,5
B13626,80,8
C13627,239,24
D13628,23,2
E13629,184,37
F13630,160,32
G13631,329,99
H13632,278,28
I13633,145,29
J13634,121,12
K13635,57,17
L13636,28,3
M13637,251,50
N13638,58,17
O13639,205,41
P13640,178,53
Q13641,87,26
R13642,119,24
S13643,145,44
T13644,102,10
U13645,218,44
V13646,206,41
W13647,26,3
X13648,133,13
Y13649,84,17
Z13650,136,27
A13651,20,2
B13652,141,28
C13653,59,18
D13654,207,41
E13655,99,20
F13656,164,49
G13657,131,13
H13658,109,11
I13659,182,55
J13660,127,38
K13661,201,20
L13662,235,47
M13663,264,53
N13664,106,11
O13665,134,27
P13666,218,65
Q13667,116,35
R13668,108,22
S13669,200,20
T13670,109,11
U13671,261,78
V13672,266,27
W13673,96,10
X13674,102,31
Y13675,172,52
Z13676,112,34
A13677,205,62
B13678,217,43
C13679,73,22
D13680,107,32
E13681,38,11
F13682,217,43
G13683,281,56
H13684,229,69
I13685,298,30
J13686,141,42
K13687,197,39
L13688,306,92
M13689,158,32
N13690,26,8
O13691,182,36
P13692,287,57
Q13693,112,11
R13694,114,23
S13695,203,20
T13696,114,11
U13697,212,64
V13698,122,24
W13699,23,5
X13700,101,20
Y13701,124,25
Z13702,153,15
A13703,215,43
B13704,307,61
C13705,243,24
D13706,109,33
E13707,101,20
F13708,262,26
G13709,20,2
H13710,255,26
I13711,55,17
J13712,243,73
K13713,164,16
L13714,211,21
M13715,38,4
N13716,275,55
O13717,52,10
P13718,141,42
Q13719,140,28
R13720,104,21
S13721,125,25
T13722,23,5
U13723,58,6
V13724,99,20
W13725,76,23
X13726,159,32
Y13727,184,55
Z13728,23,7
A13729,44,4
B13730,42,4
C13731,103,10
D13732,203,20
E13733,186,37
F13734,168,17
G13735,103,31
H13736,143,14
I13737,64,6
J13738,145,15
K13739,148,44
L13740,246,74
M13741,242,48
N13742,253,25
O13743,298,60
P13744,179,54
Q13745,144,14
R13746,282,28
S13747,168,50
T13748,169,34
U13749,147,44
V13750,206,62
W13751,156,16
X13752,200,40
Y13753,260,78
Z13754,133,27
A13755,130,26
B13756,186,37
C13757,109,33
D13758,262,26
E13759,146,44
F13760,144,43
G13761,160,48
H13762,47,5
I13763,115,12
J13764,118,35
K13765,24,5
L13766,55,6
M13767,194,39
N13768,201,60
O13769,296,59
P13770,155,31
Q13771,121,24
R13772,260,26
S13773,163,49
T13774,63,19
U13775,180,36
V13776,155,47
W13777,253,25
X13778,267,53
Y13779,182,55
Z13780,156,47
A13781,173,52
B13782,199,60
C13783,133,40
D13784,217,22
E13785,171,17
F13786,163,33
G13787,123,25
H13788,21,6
I13789,153,46
J13790,76,8
K13791,142,28
L13792,271,27
M13793,209,42
N13794,47,14
O13795,177,35
P13796,176,53
Q13797,310,93
R13798,85,17
S13799,251,50
T13800,28,3
U13801,180,54
V13802,154,46
W13803,176,18
X13804,68,7
Y13805,192,58
Z13806,198,59
A13807,99,20
B13808,62,6
C13809,283,85
D13810,195,20
E13811,279,28
F13812,73,15
G13813,163,49
H13814,227,23
I13815,86,26
J13816,199,60
K13817,123,37
L13818,305,92
M13819,280,84
N13820,289,87
O13821,170,51
P13822,150,30
Q13823,127,13
R13824,211,42
S13825,54,16
T13826,215,65
U13827,26,5
V13828,243,49
W13829,204,20
X13830,213,21
Y13831,343,34
Z13832,23,2
A13833,272,54
B13834,177,18
C13835,47,14
D13836,221,44
E13837,194,19
F13838,256,26
G13839,111,33
H13840,135,41
I13841,25,3
J13842,348,35
K13843,190,57
L13844,186,19
M13845,85,17
N13846,104,10
O13847,185,37
P13848,165,17
Q13849,197,20
R13850,216,65
S13851,230,69
T13852,167,50
U13853,107,32
V13854,115,12
W13855,165,50
X13856,137,27
Y13857,123,12
Z13858,64,19
A13859,256,77
B13860,203,20
C13861,52,16
D13862,127,25
E13863,206,41
F13864,21,4
G13865,162,16
H13866,92,9
I13867,239,24
J13868,60,18
K13869,99,20
L13870,45,5
M13871,79,16
N13872,104,31
O13873,166,50
P13874,19,2
Q13875,208,62
R13876,25,3
S13877,167,50
T13878,220,44
U13879,54,16
V13880,23,7
W13881,248,50
X13882,146,44
Y13883,115,35
Z13884,28,3
A13885,68,20
B13886,52,5
C13887,126,25
D13888,109,22
E13889,180,36
F13890,271,81
G13891,209,42
H13892,132,40
I13893,279,56
J13894,68,14
K13895,120,24
L13896,76,15
M13897,109,22
N13898,87,17
O13899,316,95
P13900,194,19
Q13901,125,13
R13902,54,16
S13903,210,42
T13904,79,24
U13905,109,11
V13906,140,42
W13907,113,34
X13908,142,28
Y13909,100,20
Z13910,21,2
A13911,107,32
B13912,238,71
C13913,44,9
D13914,231,69
E13915,133,27
F13916,162,49
G13917,42,4
H13918,82,25
I13919,96,19
J13920,285,57
K13921,273,55
L13922,44,13
M13923,281,84
N13924,26,5
O13925,102,31
P13926,119,12
Q13927,219,66
R13928,311,62
S13929,57,6
T13930,296,30
U13931,25,8
V13932,124,37
W13933,152,15
X13934,120,36
Y13935,39,4
Z13936,221,22
A13937,245,25
B13938,202,40
C13939,71,14
D13940,203,41
E13941,45,14
F13942,100,10
G13943,125,25
H13944,131,13
I13945,135,27
J13946,188,56
K13947,64,6
L13948,210,63
M13949,178,53
N13950,55,6
O13951,135,14
P13952,97,10
Q13953,98,10
R13954,152,46
S13955,41,12
T13956,315,32
U13957,97,29
V13958,297,89
W13959,174,52
X13960,142,14
Y13961,128,13
Z13962,128,26
A13963,166,33
B13964,196,20
C13965,147,29
D13966,211,63
E13967,203,61
F13968,61,12
G13969,77,23
H13970,259,78
I13971,29,9
J13972,117,23
K13973,122,24
L13974,62,6
M13975,148,44
N13976,216,22
O13977,290,58
P13978,218,22
Q13979,169,17
R13980,231,46
S13981,231,69
T13982,191,38
U13983,253,25
V13984,148,44
W13985,139,14
X13986,90,18
Y13987,314,31
Z13988,99,20
A13989,49,10
B13990,140,14
C13991,97,10
D13992,28,6
E13993,226,45
F13994,185,19
G13995,85,9
H13996,78,16
I13997,224,22
J13998,137,27
K13999,141,42
L14000,87,9
M14001,235,71
N14002,304,91
O14003,26,5
P14004,121,12
Q14005,215,65
R14006,97,29
S14007,110,22
T14008,221,66
U14009,54,5
V14010,28,8
W14011,260,26
X14012,140,42
Y14013,47,9
Z14014,119,36
A14015,261,26
B14016,85,9
C14017,58,17
D14018,245,25
E14019,44,9
F14020,116,35
G14021,749,75
H14022,393,39
I14023,148,30
J14024,208,21
K14025,83,25
L14026,109,22
M14027,113,23
N14028,171,17
O14029,29,3
P14030,245,25
Q14031,209,63
R14032,98,10
S14033,90,27
T14034,238,24
U14035,119,12
V14036,193,58
W14037,114,23
X14038,249,50
Y14039,244,24
Z14040,6154,1231
A14041,133,27
B14042,214,21
C14043,132,26
D14044,28,6
E14045,69,21
F14046,117,35
G14047,196,20
H14048,110,22
I14049,163,33
J14050,245,25
K14051,158,16
L14052,247,25
M14053,185,37
N14054,46,9
O14055,264,53
P14056,208,42
Q14057,55,6
R14058,78,8
S14059,63,13
T14060,81,24
U14061,195,59
V14062,143,43
W14063,54,16
X14064,19,4
Y14065,104,31
Z14066,161,48
A14067,170,51
B14068,69,14
C14069,103,21
D14070,177,35
E14071,53,11
F14072,279,56
G14073,156,47
H14074,53,5
I14075,89,18
J14076,145,15
K14077,217,65
L14078,154,46
M14079,207,21
N14080,129,39
O14081,42,13
P14082,20,2
Q14083,131,13
R14084,53,16
S14085,23,2
T14086,202,40
U14087,127,25
V14088,251,25
W14089,67,7
X14090,230,69
Y14091,93,19
Z14092,203,20
A14093,215,22
B14094,27,5
