Article,MATERIAL_CONTENT_CODE,PRODUCT_TYPES,BUSINESS_SEGMENTS,NRF_COLOR_CODE,MODEL,Sustainablity,MARKETING_CATEGORY
F18102,M3X,55,975348,468,A6751,Reegrow,A624
G18103,AT28,1,30342,1,BTC16,Not Applicable,BT16
H18104,AT2Y,1,3098,730,EBH76,Recycleable,EB25
I18105,AT2F,1,3030975,435,LGE92,Recycleable,LG23
J18106,TRKI,20,975534,100,FIV90,Recycled plastic,FI3
K18107,AT4Y,1,30308,100,HJH88,Vegan,HJ5
L18108,TRK4,21,975342,1,GUN08,Organic materials,GU18
M18109,DO07,267,303034,1,ZD984,Organic materials,ZD4
N18110,AT2V,1,30302,100,EPD75,Not Applicable,EP17
O18111,AT2M,1,97534975,440,DBE77,PFC free,DB5
P18112,TRKJ,216,822,100,GOI31,Not Applicable,GO16
Q18113,AT2E,161,30308,100,G9673,Organic materials,G94
R18114,AT2A,104,9759758,1,LEZ52,Organic materials,LE3
S18115,M3X,61,975349,100,LIF49,Primeblue nylon,LI1
T18116,TRK4,30,897534,20,IXU47,Recycled plastic,IX2
U18117,AP2A,156,30307,100,KZO92,PFC free,KZ21
V18118,AT2E,1,30934,471,FXI60,Not Applicable,FX14
W18119,DO5W,15,303034,468,JAA03,Organic materials,JA2
X18120,AT2E,1,97534975,443,KZM23,Recycled,KZ13
Y18121,TRK4,216,303030,1,FYC14,Recycled plastic,FY11
Z18122,AT3H,1,30302,100,KOI08,Organic materials,KO13
A18123,TRFP,19,342975,415,GHR53,Vegan,GH16
B18124,TRVF,217,83430,1,GZQ96,Not Applicable,GZ22
C18125,AT2F,1,30308,1,FBB06,Primeblue nylon,FB14
D18126,DO07,209,30345,415,IJM36,Primeblue nylon,IJ8
E18127,AT2E,161,3030975,100,FTR07,Recycleable,FT13
F18128,DO07,205,8342,400,IUC81,Not Applicable,IU20
G18129,AT3M,1,3095,400,IYT01,Primeblue nylon,IY0
H18130,AT2Q,3,3096,1,DVC49,Not Applicable,DV8
I18131,AT3S,1,30302,100,JMB74,Vegan,JM6
J18132,AT3M,1,30930,100,JKW95,Organic materials,JK10
K18133,AT2Q,2,3096,100,HGZ74,Low carbon footprint,HG8
L18134,DO07,205,8342,1,CES09,Recycled plastic,CE19
M18135,AT27,1,3095,423,FXJ76,Reegrow,FX22
N18136,PRVM,37,342975,335,FWQ29,Low carbon footprint,FW17
O18137,M3X,237,975349,1,JEQ22,Vegan,JE5
P18138,AT2I,1,30302,100,DUY84,Low carbon footprint,DU12
Q18139,AT2O,1,8348,1,FTZ80,Low carbon footprint,FT9
R18140,DO07,14,83430,997,LEJ01,Primeblue nylon,LE17
S18141,AT2O,202,8348,100,JEA14,Primeblue nylon,JE18
T18142,PRJK,217,975530,1,FRX67,Reegrow,FR18
U18143,TRK4,19,886,1,FTM72,Recycleable,FT1
V18144,M3X,91,30307,997,IWV78,Reegrow,IW1
W18145,TRKY,287,975534,100,IXX51,Recycled plastic,IX5
X18146,AT28,1,30308,100,EPJ19,Recycled,EP5
Y18147,AT2E,1,30308,1,IXW44,Organic materials,IX15
Z18148,AT2E,1,3030975,100,BBB86,Vegan,BB19
A18149,DO53,4,9759756,100,GLO06,Recycled plastic,GL1
B18150,TRWH,14,3079,1,BEI11,Primeblue nylon,BE19
C18151,AT2O,1,8830,23,KYJ96,Vegan,KY17
D18152,AT2P,106,9759758,1,KZA43,PFC free,KZ23
E18153,AT2O,1,3030975,450,DSB54,Reegrow,DS14
F18154,AT2O,1,30308,837,GUN09,Organic materials,GU6
G18155,TRKD,44,975348,1,KZF44,Recycled,KZ19
H18156,PRR2,54,975348,300,DQW36,Recycleable,DQ23
I18157,AT2E,1,9752975,50,32351,Organic materials,323
J18158,AT2M,1,97522,1,GZP07,Recycled plastic,GZ13
K18159,AT2E,161,3030975,1,KZH38,Recycleable,KZ20
L18160,TRKR,217,3079,600,KYW34,Low carbon footprint,KY8
M18161,TRK4,16,9759758,400,KXR02,Organic materials,KX17
N18162,AT3H,1,3098,100,IZI02,Organic materials,IZ4
O18163,TRFX,21,975530,1,29408,PFC free,2923
P18164,TRK4,14,975342,1,47904,Vegan,4718
Q18165,AT40,1,30302,100,BTN01,Recycleable,BT11
R18166,AT28,163,30308,100,GVO98,Organic materials,GV13
S18167,TRKD,44,975534,450,AQN59,Reegrow,AQ11
T18168,PRY1,167,975349,1,DVF21,PFC free,DV24
U18169,AT59,1,3030975,1,LVE66,Primeblue nylon,LV6
V18170,ATAF,316,30308,261,IB324,Recycleable,IB24
W18171,AT2Q,2,3096,273,LDH35,Recycleable,LD13
X18172,M3X,39,897530,1,DRA86,Low carbon footprint,DR13
Y18173,AT2E,1,97522,1,GVU44,Reegrow,GV18
Z18174,AT5E,106,89757,100,IWT05,PFC free,IW22
A18175,TRK4,216,30305,415,GES58,Recycled,GE20
B18176,AT2F,161,30342,1,JKN72,PFC free,JK7
C18177,AT2Q,104,9759758,100,LGI22,PFC free,LG13
D18178,AT39,104,89757,328,HBQ21,Primeblue nylon,HB23
E18179,AT2O,1,9752975,1,22440,Reegrow,222
F18180,AT2E,1,885,33,EPJ30,Recycled plastic,EP18
G18181,PR5U,156,30307,650,25527,Primeblue nylon,2519
H18182,AT2E,1,885,1,22458,Vegan,228
I18183,PRAA,217,83430,1,GZV46,Recycleable,GZ0
J18184,AT27,1,3095,400,GSZ50,Not Applicable,GS6
K18185,PRDM,24,342975,415,EPJ46,Recycled plastic,EP2
L18186,M3X,37,975348,680,KYA62,Reegrow,KY0
M18187,TRKR,39,3079,1,DUZ08,Not Applicable,DU21
N18188,AT2O,1,3030975,681,GVK65,Not Applicable,GV19
O18189,AT5E,1,3030975,56,IG108,Organic materials,IG17
P18190,DO07,14,303030,305,LDW97,Primeblue nylon,LD6
Q18191,AT4Y,1,3030975,100,KYO40,Organic materials,KY13
R18192,AT2O,106,89757,328,EFJ45,Reegrow,EF4
S18193,DO07,209,3099,610,LDW22,Recycleable,LD18
T18194,M3X,37,975348,400,LEB47,PFC free,LE8
U18195,AT2E,1,3030975,100,IB118,PFC free,IB5
V18196,M3X,39,9759758,600,IZU12,Recycled,IZ25
W18197,DO07,14,30305,100,GZT70,Recycled,GZ0
X18198,AT39,104,89757,328,JKW29,Reegrow,JK6
Y18199,TRK4,219,3079,1,HKP81,Recycled plastic,HK8
Z18200,TRKY,251,3078,1,KMH69,Vegan,KM9
A18201,TRKD,42,975534,1,JLV26,Vegan,JL2
B18202,AT2E,1,975234,1,FSK40,Not Applicable,FS4
C18203,AT2E,1,30308,100,GNG45,Vegan,GN2
D18204,AT28,1,30308,100,GZP16,Recycled,GZ9
E18205,M3X,39,9758975,100,KYQ81,Low carbon footprint,KY14
F18206,AT2F,161,3030975,273,GZH09,Primeblue nylon,GZ4
G18207,TRKD,42,898,415,DBH61,Not Applicable,DB15
H18208,AT26,1,9759758,100,IWT31,PFC free,IW25
I18209,DO07,205,8342,330,GLB95,Recycleable,GL21
J18210,PRXV,39,8342,1,DVH46,Not Applicable,DV4
K18211,AT27,1,3030975,100,FBA35,Recycled plastic,FB18
L18212,AT2R,1,885,1,LAG64,PFC free,LA8
M18213,AT56,1,30308,689,GVU96,Recycled,GV20
N18214,AT2E,1,30302,1,KYB66,Not Applicable,KY22
O18215,AT2X,1,30934,51,FRX81,Recycled plastic,FR17
P18216,AT2E,1,30302,680,FUB46,Recycled,FU20
Q18217,TRK4,14,97526,610,23698,Vegan,2317
R18218,PRJN,31,30834,1,BUJ07,Vegan,BU7
S18219,TRGL,21,83430,610,GLC03,Recycleable,GL2
T18220,TREU,24,975346,1,IYA87,Low carbon footprint,IY25
U18221,DO07,34,30834,219,IYI70,Recycleable,IY8
V18222,AT2X,1,3095,1,IZD50,Low carbon footprint,IZ15
W18223,AT2Q,3,3096,36,IUC48,Primeblue nylon,IU16
X18224,AT2E,1,97522,100,FCA38,Recycled plastic,FC4
Y18225,AT3H,202,3098,100,GLQ00,Vegan,GL2
Z18226,AT2E,1,97522,51,LSO52,PFC free,LS17
A18227,TRMB,16,9758975,720,LGB44,Organic materials,LG24
B18228,AT4M,1,3030975,100,FYT26,Vegan,FY7
C18229,PR4A,1,30302,100,KMJ09,Primeblue nylon,KM4
D18230,DO01,19,9759758,20,KZL61,Recycled,KZ15
E18231,TRK4,211,975530,400,LEY61,Not Applicable,LE1
F18232,M3X,39,9758975,26,GLV04,Low carbon footprint,GL11
G18233,AT2R,1,885,1,GEL17,Low carbon footprint,GE19
H18234,PRDY,21,303034,300,DBF26,Recycled plastic,DB6
I18235,AT2E,1,30302,100,GVT60,Recycleable,GV24
J18236,DO07,205,975342,1,BEG36,Recycled,BE15
K18237,TRKF,267,9759758,35,HEZ81,Recycled plastic,HE16
L18238,TRG0,286,975534,1,GNG31,Low carbon footprint,GN17
M18239,TRKF,252,303030,1,CDZ36,Organic materials,CD17
N18240,M3X,61,975349,46,EZY25,PFC free,EZ12
O18241,AT4P,1,97534975,1,GTA63,Reegrow,GT16
P18242,AT5W,104,9759758,997,BSV73,Recycleable,BS1
Q18243,AT4N,104,89757,100,IXZ17,Recycled plastic,IX23
R18244,DO07,267,303030,681,LEY97,Low carbon footprint,LE1
S18245,DO07,205,89755,1,KXQ21,Recycled,KX9
T18246,PR4H,44,97526,1,AT204,Reegrow,AT25
U18247,M3X,39,897530,1,LEB65,Recycleable,LE25
V18248,TRK4,36,975534,400,FJU10,Recycled,FJ0
W18249,AT2O,1,8230,1,GDO06,Organic materials,GD7
X18250,DO2R,258,3422,21,IYS19,Reegrow,IY25
Y18251,AT59,1,3030975,100,CW345,Reegrow,CW15
Z18252,AT2E,1,3092,1,CDR08,Low carbon footprint,CD16
A18253,TRKR,217,3079,1,GVJ11,Low carbon footprint,GV20
B18254,AT2X,1,30302,100,FBC18,Recycleable,FB13
C18255,AT2E,1,97534975,682,KXO19,Recycleable,KX9
D18256,PRFM,24,9758975,357,HJ870,Vegan,HJ14
E18257,AT2G,1,30308,100,970,Reegrow,9715
F18258,DO6W,253,83430,1,FSG52,Recycled,FS21
G18259,TRK4,216,3097,1,KYL30,Not Applicable,KY14
H18260,M3X,73,975349,997,GLC97,Vegan,GL16
I18261,DO07,39,303030,35,GOE02,PFC free,GO15
J18262,DO01,37,3097,424,KXN23,Reegrow,KX3
K18263,M3X,66,30307,650,BEG36,Recycled plastic,BE17
L18264,AT2E,1,9752975,1,IPA13,Recycled,IP24
M18265,DO07,51,30834,360,JAC15,Low carbon footprint,JA23
N18266,AT2E,1,97534975,26,LDW77,Organic materials,LD10
O18267,M3X,14,975348,100,GZP30,Not Applicable,GZ24
P18268,AT28,1,30342,1,DUZ38,PFC free,DU20
Q18269,AT2E,1,30934,1,BBA43,Recycled plastic,BB25
R18270,M3X,55,975348,35,CFS10,PFC free,CF14
S18271,TRKP,16,9758975,1,GLB66,PFC free,GL19
T18272,M3X,14,8342,1,JKH35,PFC free,JK20
U18273,AT2Q,3,3096,600,LEW55,Low carbon footprint,LE8
V18274,AT27,1,30302,1,GVI35,Organic materials,GV20
W18275,AT2E,1,975347,435,LEQ20,Primeblue nylon,LE16
X18276,AT2E,1,30934,430,KZO03,Recycled plastic,KZ9
Y18277,AT2E,1,97522,741,CFB37,Reegrow,CF2
Z18278,DO0S,252,303034,1,HBR41,Not Applicable,HB20
A18279,AT2E,1,975306,100,AT205,Organic materials,AT9
B18280,AT2E,1,3092,80,JLE95,Recycleable,JL2
C18281,AT2X,1,30930,100,HJQ41,PFC free,HJ19
D18282,TRK4,252,303030,20,GTA07,Organic materials,GT11
E18283,M3X,14,9758975,305,LAG87,Recycled,LA24
F18284,M3X,37,975348,100,FRU56,Reegrow,FR20
G18285,AT2E,1,3030975,100,LDR86,Organic materials,LD11
H18286,DO01,16,9758975,100,KZQ21,Recycleable,KZ18
I18287,AT2O,1,3030975,100,JAC16,Primeblue nylon,JA20
J18288,DO07,14,303030,1,GLC09,Not Applicable,GL1
K18289,DO07,267,975346,100,LAM31,Recycleable,LA5
L18290,AT2V,1,30308,1,EBE73,PFC free,EB23
M18291,PRJF,44,975534,400,EFK75,Recycled plastic,EF6
N18292,AT2E,1,9752975,100,FBZ18,Low carbon footprint,FB11
O18293,AT3H,1,30930,100,GVR68,Organic materials,GV24
P18294,TRSO,39,3079,616,51159,Recycled,519
Q18295,TRK7,39,303030,1,FWX19,Recycled plastic,FW8
R18296,AT51,1,30308,100,GJP80,Organic materials,GJ12
S18297,AT2E,1,3092,20,FTS82,Recycleable,FT11
T18298,AT2F,1,9752975,1,LOX18,Primeblue nylon,LO4
U18299,AT2E,1,30302,1,GLC03,Recycleable,GL23
V18300,TRK7,21,30305,35,IZN67,PFC free,IZ4
W18301,TRKD,43,975530,408,GJM71,Recycleable,GJ2
X18302,M3X,117,8342,35,KZN42,Not Applicable,KZ21
Y18303,AT2X,1,3098,1,KXX48,Vegan,KX19
Z18304,M3X,251,975348,1,DQV02,Reegrow,DQ13
A18305,TRFU,44,975534,1,GTB85,PFC free,GT14
B18306,AT7A,1,30302,415,31841,Organic materials,3113
C18307,AT2E,1,9752975,100,DBB22,Recycled,DB24
D18308,AT40,1,30308,100,GZQ58,Low carbon footprint,GZ23
E18309,AT2E,1,97522,650,22014,Vegan,222
F18310,AT2R,1,885,730,LES33,Low carbon footprint,LE21
G18311,DO01,39,342975,33,44875,PFC free,4421
H18312,AT2O,1,885,100,FSC00,Primeblue nylon,FS5
I18313,TRK4,51,30305,415,DQT22,PFC free,DQ1
J18314,DO01,13,303030,1,FCE87,Primeblue nylon,FC23
K18315,DO07,14,303030,1,KXQ60,Low carbon footprint,KX12
L18316,AT2E,1,3030975,1,DBB20,Not Applicable,DB2
M18317,TRK7,19,3099,100,EOU26,Primeblue nylon,EO11
N18318,TRK4,37,975342,36,JLU23,Vegan,JL23
O18319,AT2E,1,885,400,GKH75,Primeblue nylon,GK11
P18320,AT5E,106,9759758,1,JAA03,Low carbon footprint,JA8
Q18321,PRJN,287,975534,1,LEP42,Not Applicable,LE0
R18322,AT2E,1,97522,688,HKP38,Vegan,HK9
S18323,AT5E,108,89757,100,KYP96,Recycled plastic,KY15
T18324,AT28,1,3098,1,FSG89,Vegan,FS13
U18325,DO07,205,8342,330,LDG65,PFC free,LD25
V18326,TRK4,216,303030,1,DWK66,PFC free,DW14
W18327,AT2X,1,3095,51,FSH11,Organic materials,FS9
X18328,M3X,61,30307,100,KXJ73,Not Applicable,KX7
Y18329,PRER,14,8342,997,EOT82,Recycled plastic,EO6
Z18330,TRK4,216,30305,1,AQU29,Low carbon footprint,AQ7
A18331,AT4P,161,30342,1,IYN16,Not Applicable,IY21
B18332,AT2E,1,309975,1,IXR53,Low carbon footprint,IX4
C18333,DO07,205,975348,100,FYA52,Recycled,FY20
D18334,DO07,205,8342,100,KZJ83,Reegrow,KZ20
E18335,AT4T,104,9759758,1,LDT03,Vegan,LD23
F18336,TRK4,216,3099,445,22443,Recycled,2210
G18337,M3X,24,975348,1,IZT41,Organic materials,IZ22
H18338,AT2O,1,30302,100,KZT45,Organic materials,KZ24
I18339,TRK7,252,303030,400,IB117,PFC free,IB9
J18340,TRK4,216,30305,1,GDH98,Recycleable,GD23
K18341,TRFS,19,342975,100,LEN08,Recycleable,LE18
L18342,AT2B,1,30308,100,FYG84,Recycled plastic,FY16
M18343,DO75,44,303034,668,24226,PFC free,243
N18344,M3X,66,975349,100,IUA22,Vegan,IU9
O18345,AT3H,202,30930,100,GLC95,Organic materials,GL4
P18346,TRKY,287,975534,665,GSW89,Recycled plastic,GS14
Q18347,AT2E,1,97522,741,DUZ14,PFC free,DU15
R18348,TRK4,252,30305,415,FZG52,Low carbon footprint,FZ3
S18349,AT2Q,3,3096,36,GVR28,Primeblue nylon,GV0
T18350,AT29,163,3030975,33,EPD53,Organic materials,EP14
U18351,AT3P,108,9759758,1,EPF89,PFC free,EP1
V18352,DO18,39,975534,1,KZT76,Recycled,KZ25
W18353,DO07,37,8342,99,24910,Organic materials,242
X18354,M3X,14,9758975,305,GUE78,Recycled,GU6
Y18355,M3X,267,975348,40,GLM38,Recycled,GL23
Z18356,AT26,1,3030975,1,LRO55,PFC free,LR12
A18357,AT2X,1,3095,1,FRV07,Low carbon footprint,FR14
B18358,M3X,56,975348,680,EOS83,Vegan,EO3
C18359,DO07,267,303030,1,EFI09,Recycled plastic,EF2
D18360,AT2O,1,97534975,100,HAI60,Low carbon footprint,HA6
E18361,M3X,24,975348,1,IA493,Low carbon footprint,IA7
F18362,AT2R,1,885,730,KYH47,Recycled,KY11
G18363,AT2X,1,3098,1,24744,Low carbon footprint,2419
H18364,TRKR,217,3079,690,A6750,Recycled,A610
I18365,PRQU,29,975346,407,IYK42,Recycleable,IY23
J18366,TRKD,42,898,1,IHS48,PFC free,IH8
K18367,DO07,205,8342,1,EBH06,Vegan,EB25
L18368,AT2E,1,9752975,1,HHB03,Recycleable,HH24
M18369,AT2R,1,885,454,GHM57,Recycled,GH10
N18370,M3X,61,30307,100,GZU20,Reegrow,GZ19
O18371,TRK4,16,9759758,46,HFB07,Not Applicable,HF17
P18372,AT26,201,3030975,50,IXT98,Reegrow,IX24
Q18373,TRK4,37,97526,1,KXX64,Not Applicable,KX23
R18374,AT5E,106,89757,400,KYL96,Low carbon footprint,KY7
S18375,AT27,1,30930,1,HFD59,Recycled plastic,HF1
T18376,M3X,39,9759758,1,KXN16,Low carbon footprint,KX25
U18377,DO5W,44,30305,1,BTO82,Not Applicable,BT0
V18378,ATK3,3,3096,1,GDH36,Not Applicable,GD14
W18379,AT54,1,3085,302,IB576,Recycleable,IB23
X18380,AT2E,1,9752975,1,FBS33,Organic materials,FB21
Y18381,TRK4,66,975349,1,FXB36,Low carbon footprint,FX17
Z18382,AT2F,202,3030975,1,GLM96,Vegan,GL9
A18383,AT2E,1,30302,1,EPD75,Recycled plastic,EP8
B18384,AT2E,1,3092,1,CDR32,Organic materials,CD23
C18385,AT2Q,3,3096,1,A8927,Recycled plastic,A817
D18386,AT2O,1,9752975,100,KZQ04,Recycled plastic,KZ23
E18387,DO1T,13,3078,504,FRU56,Organic materials,FR7
F18388,TRFP,19,342975,800,LDW22,PFC free,LD22
G18389,DO07,15,303030,610,AT138,Low carbon footprint,AT4
H18390,DO07,15,303030,650,DVC42,Organic materials,DV9
I18391,AT2X,1,309975,1,DUZ12,Recycled plastic,DU9
J18392,DO07,14,30305,610,NWY02,Recycleable,NW18
K18393,DO07,205,975348,1,FVF50,Organic materials,FV1
L18394,AT2B,202,30308,1,JAC24,Reegrow,JA20
M18395,DO01,39,342975,1,FYR43,Vegan,FY2
N18396,AT2E,1,97522,1,EFG95,PFC free,EF16
O18397,AT6B,202,30302,408,BAZ49,Not Applicable,BA4
P18398,AT26,201,3030975,100,28496,Not Applicable,2822
Q18399,AT29,1,3030975,1,IYN18,Reegrow,IY1
R18400,TRZR,252,303030,600,EOT42,Recycled,EO11
S18401,AT2E,1,9752975,100,IYT83,Recycled plastic,IY2
T18402,TRG2,16,9758975,415,JLZ01,Recycled,JL2
U18403,ATAC,1,30302,100,LDM19,Not Applicable,LD12
V18404,PREF,17,9759758,1,GLB99,Recycleable,GL25
W18405,DO07,21,3078,313,LEB06,PFC free,LE17
X18406,TRK4,177,303030,1,FRU70,PFC free,FR11
Y18407,DO01,30,897530,1,DBI60,PFC free,DB16
Z18408,PRJP,39,975530,71,IXP83,Recycleable,IX6
A18409,AT5W,112,9759758,1,EKF76,Primeblue nylon,EK2
B18410,PRAA,268,975530,1,IG196,Not Applicable,IG11
C18411,DO07,205,8342,330,FRL66,Recycled plastic,FR17
D18412,AT2E,1,9752975,335,IKK08,Not Applicable,IK18
E18413,TRG0,14,83430,1,GKD07,Vegan,GK21
F18414,AT2V,1,30308,1,CFB26,PFC free,CF7
G18415,AT2X,1,3095,99,KXO46,Primeblue nylon,KX13
H18416,AT3H,1,3098,100,EBG01,Recycleable,EB0
I18417,TRFZ,217,975530,400,FXZ04,PFC free,FX11
J18418,AT2E,1,3092,100,GUE34,Primeblue nylon,GU16
K18419,TRK7,37,3099,1,FVX54,Recycleable,FV5
L18420,PR0G,13,975530,824,AQT17,Primeblue nylon,AQ4
M18421,AT51,202,30308,1,IYK02,Recycled plastic,IY19
N18422,DO01,24,34230,400,IOZ68,Recycleable,IO25
O18423,TRK4,30,897530,1,KXO37,Vegan,KX19
P18424,M3X,37,975348,540,KYM97,Primeblue nylon,KY4
Q18425,AT2E,1,975345,700,IYK15,Recycled,IY25
R18426,AT2X,1,3095,1,DBB22,Recycled plastic,DB22
S18427,TRK7,39,303034,130,21649,Recycleable,218
T18428,TRFX,36,886,100,IYD47,Recycled,IY17
U18429,AT2O,1,87975,1,17960,Recycleable,179
V18430,AT2E,1,3092,33,GKD17,Recycleable,GK21
W18431,TRFP,37,342975,100,GOE02,Primeblue nylon,GO10
X18432,AT3H,1,89975,1,GLN71,Recycleable,GL1
Y18433,M3X,14,975348,400,LEH91,Reegrow,LE22
Z18434,TRFT,36,97528,1,ELK68,Organic materials,EL20
A18435,AT2E,1,3095,1,BTT89,Reegrow,BT17
B18436,AT2E,1,3030975,435,KMI79,PFC free,KM11
C18437,TRK4,216,303034,650,14279,Primeblue nylon,145
D18438,PRER,205,3079,100,FBD15,Not Applicable,FB21
E18439,TRK7,267,30305,652,KMJ16,Recycled,KM13
F18440,TRKJ,37,975530,100,LGM05,Not Applicable,LG21
G18441,M3X,66,30307,1,JKN79,Primeblue nylon,JK6
H18442,AT4T,104,89757,457,HJ156,Low carbon footprint,HJ18
I18443,TRK4,13,975342,610,21972,PFC free,2112
J18444,AT2E,1,309975,600,DVF21,PFC free,DV9
K18445,AT2E,1,30302,1,FVX54,Recycleable,FV4
L18446,AT27,1,3095,1,KYI33,Reegrow,KY16
M18447,TRK4,240,83030,471,BJ016,Not Applicable,BJ5
N18448,DO0S,51,30305,430,JEI02,Recycleable,JE3
O18449,DO01,13,83430,670,EOV59,Recycled plastic,EO23
P18450,PR7M,21,975348,472,KZE28,Not Applicable,KZ10
Q18451,TRKY,287,975534,1,JEA00,PFC free,JE20
R18452,TRK7,267,3097,1,GVQ56,Recycleable,GV3
S18453,PRXV,39,8342,400,HJ878,Organic materials,HJ7
T18454,AT2G,1,30302,100,HNN55,Recycled plastic,HN16
U18455,AT2E,1,97522,100,KYH22,Recycled,KY23
V18456,AT2E,1,975306,800,FRX82,Organic materials,FR17
W18457,TRFT,36,97528,1,GLR31,Primeblue nylon,GL3
X18458,AT2O,1,30302,100,62466,Low carbon footprint,6223
Y18459,DO07,205,8342,1,DBB22,Reegrow,DB9
Z18460,TRK4,16,9758975,1,LRR02,Low carbon footprint,LR11
A18461,TRK4,16,9758975,1,DVF32,Low carbon footprint,DV25
B18462,AT28,1,3030975,1,KYM97,Recycleable,KY17
C18463,M3X,39,9759758,1,HHB23,Reegrow,HH0
D18464,AT4T,104,89757,1,LGK08,Not Applicable,LG1
E18465,TRK4,21,975346,1,LTA04,Recycled,LT16
F18466,DO07,267,975346,100,CDR22,Primeblue nylon,CD6
G18467,AT2X,1,30930,33,KXX71,Recycled plastic,KX17
H18468,DO07,14,8342,997,DBE42,Primeblue nylon,DB11
I18469,DO0N,79,30307,1,DBH74,Low carbon footprint,DB24
J18470,AT2E,1,97522,689,JQ848,Primeblue nylon,JQ8
K18471,AT2R,1,885,454,KYW07,Not Applicable,KY25
L18472,AT3N,1,30308,100,EOV74,Recycled plastic,EO18
M18473,DO07,205,8342,100,LAG64,Primeblue nylon,LA8
N18474,DO0G,205,975530,100,13435,Recycled plastic,136
O18475,M3X,39,9758975,486,KYM98,Not Applicable,KY4
P18476,M3X,37,975348,100,EBH78,PFC free,EB5
Q18477,AT2R,1,885,730,GTF01,Recycled,GT2
R18478,DO07,205,83430,35,JQ254,Recycleable,JQ9
S18479,DO37,21,342975,400,BSV73,Organic materials,BS11
T18480,TRK4,39,3099,408,GVA06,Recycleable,GV18
U18481,DO01,216,83430,308,FBS33,Organic materials,FB19
V18482,AT2R,1,3030975,738,JAT85,Low carbon footprint,JA23
W18483,TRK4,36,822,400,JKA20,Low carbon footprint,JK19
X18484,TRK4,37,975342,400,DJV18,Organic materials,DJ19
Y18485,AT2E,1,309975,1,GHS76,Primeblue nylon,GH10
Z18486,AT2F,1,30302,841,GNG30,Recycled plastic,GN12
A18487,TRK4,14,97526,100,LLA29,Reegrow,LL14
B18488,DO07,205,3079,1,KYB67,Recycleable,KY22
C18489,TRKX,44,83430,1,LEF55,Primeblue nylon,LE11
D18490,AT2O,202,97534975,610,IUB92,Low carbon footprint,IU2
E18491,AT2G,1,30302,33,FKO03,Reegrow,FK10
F18492,TRK7,21,303034,1,KZB15,Organic materials,KZ16
G18493,M3X,36,9758975,612,KXQ14,Organic materials,KX10
H18494,AT2X,1,3098,1,FXK60,PFC free,FX24
I18495,TRK4,216,3099,20,IYT94,Primeblue nylon,IY0
J18496,AT2E,1,9752975,612,GNE90,Not Applicable,GN3
K18497,AT2E,1,9752975,51,GHO69,PFC free,GH19
L18498,AT2E,1,3030975,100,FCC43,Recycled plastic,FC16
M18499,AT2Q,104,9759758,400,GLL62,Vegan,GL12
N18500,DO01,24,34230,36,LGD97,Recycleable,LG21
O18501,AT39,104,89757,471,HJ882,PFC free,HJ3
P18502,DO4V,44,975346,500,ZB024,Recycled plastic,ZB19
Q18503,AT4H,1,3030975,100,IYN00,Recycled,IY7
R18504,TRSO,251,3079,616,FYX49,PFC free,FY17
S18505,AT64,1,3085,26,45196,Primeblue nylon,4518
T18506,AT2E,1,30302,1,GLI57,Primeblue nylon,GL1
U18507,TRG0,205,83430,1,24530,Recycled,240
V18508,AT2E,1,3030975,610,GLN64,Recycled,GL13
W18509,AT26,201,3030975,56,EFK08,Recycled plastic,EF21
X18510,AT2E,1,97522,100,JQ859,Not Applicable,JQ8
Y18511,TRK4,219,3079,1,KXN23,Organic materials,KX9
Z18512,AT2E,1,885,336,FL063,Not Applicable,FL11
A18513,M3X,24,975348,688,A6757,Recycleable,A66
B18514,AT27,1,3095,1,JKO93,Recycleable,JK21
C18515,AT2E,1,30934,440,JLA61,Recycleable,JL17
D18516,AT2O,1,8830,1,FUH79,Vegan,FU20
E18517,AT2X,1,3098,100,KXY22,Not Applicable,KX3
F18518,M3X,39,9758975,1,IPC75,Recycled plastic,IP17
G18519,AT2G,1,30308,100,FRU88,Recycleable,FR18
H18520,AT2O,1,3095,1,EVT16,PFC free,EV16
I18521,AT2O,1,3428,1,AQT21,Not Applicable,AQ21
J18522,AT2E,1,3092,80,HJ131,Low carbon footprint,HJ19
K18523,M3X,61,975349,1,HJ837,Vegan,HJ9
L18524,AT2E,1,3030975,600,IG196,Low carbon footprint,IG5
M18525,M3X,24,975348,30,16840,Low carbon footprint,161
N18526,AT2E,1,30308,1,KYX37,Not Applicable,KY17
O18527,M3X,205,9758975,997,EBH70,PFC free,EB0
P18528,AT2E,1,30302,435,WF006,Recycled plastic,WF8
Q18529,TRSV,44,975530,1,KZV80,PFC free,KZ11
R18530,TRK4,216,9759758,415,HJ068,Organic materials,HJ9
S18531,AT4N,104,89757,517,DVH61,Low carbon footprint,DV16
T18532,TRK7,217,9758975,1,HIU96,Not Applicable,HI1
U18533,AT2Q,3,3096,1,FBB96,Low carbon footprint,FB14
V18534,DO5W,44,3079,408,EKF76,Not Applicable,EK25
W18535,M3X,56,975348,690,GVZ93,Primeblue nylon,GV24
X18536,AT2E,1,97522,51,GVD26,Recycled,GV6
Y18537,M3X,55,975348,1,WG459,Recycled plastic,WG21
Z18538,DO01,39,342975,33,KYS26,Recycled,KY25
A18539,AT2E,1,30308,1,GVJ11,Low carbon footprint,GV21
B18540,AT2C,3,3096,454,LQC98,Low carbon footprint,LQ12
C18541,AT2E,1,9752975,730,IQG57,PFC free,IQ16
